"Calorias" "Sodio" "Tipo"
"1" 186 495 "A"
"2" 181 477 "A"
"3" 176 425 "A"
"4" 149 322 "A"
"5" 184 482 "A"
"6" 190 587 "A"
"7" 158 370 "A"
"8" 139 322 "A"
"9" 175 479 "A"
"10" 148 375 "A"
"11" 152 330 "A"
"12" 111 300 "A"
"13" 141 386 "A"
"14" 153 401 "A"
"15" 190 645 "A"
"16" 157 440 "A"
"17" 131 317 "A"
"18" 149 319 "A"
"19" 135 298 "A"
"20" 132 253 "A"
"21" 173 458 "B"
"22" 191 506 "B"
"23" 182 473 "B"
"24" 190 545 "B"
"25" 172 496 "B"
"26" 147 360 "B"
"27" 146 387 "B"
"28" 139 386 "B"
"29" 175 507 "B"
"30" 136 393 "B"
"31" 179 405 "B"
"32" 153 372 "B"
"33" 107 144 "B"
"34" 195 511 "B"
"35" 135 405 "B"
"36" 140 428 "B"
"37" 138 339 "B"
"38" 129 430 "C"
"39" 132 375 "C"
"40" 102 396 "C"
"41" 106 383 "C"
"42" 94 387 "C"
"43" 102 542 "C"
"44" 87 359 "C"
"45" 99 357 "C"
"46" 170 528 "C"
"47" 113 513 "C"
"48" 135 426 "C"
"49" 142 513 "C"
"50" 86 358 "C"
"51" 143 581 "C"
"52" 152 588 "C"
"53" 146 522 "C"
"54" 144 545 "C"
